CUT-V3.0
9
        7.000000e-01        9.900000e-01
        7.000000e-01        9.469524e+01
        7.000000e-01        5.193957e+00
        1.000000e-01        2.939671e+01
        1.000000e-01        1.994653e+00
        1.000000e+00        1.017972e+02
        1.000000e+00        6.188712e+00
        1.000000e+01        2.849124e+02
        1.000000e+01        1.920047e+01
        7.000000e-01        9.900000e-01
        7.000000e-01        1.006993e+03
        7.000000e-01        2.732046e+02
        1.000000e-01        2.406617e+02
        1.000000e-01        8.269850e+01
        1.000000e+00        1.371581e+03
        1.000000e+00        3.464482e+02
        1.000000e+01        1.520470e+04
        1.000000e+01        2.162117e+03
        7.000000e-01        9.900000e-01
        7.000000e-01        9.469363e+02
        7.000000e-01        2.654427e+02
        1.000000e-01        2.325878e+02
        1.000000e-01        8.137756e+01
        1.000000e+00        1.282598e+03
        1.000000e+00        3.354121e+02
        1.000000e+01        1.403221e+04
        1.000000e+01        2.033496e+03
        7.000000e-01        7.000000e+01
        7.000000e-01        7.000000e+01
        7.000000e-01        7.000000e+01
        1.000000e-01        1.000000e+01
        1.000000e-01        1.000000e+01
        1.000000e+00        1.000000e+02
        1.000000e+00        1.000000e+02
        1.000000e+01        1.000000e+03
        1.000000e+01        1.000000e+03
