MATERIAL-V3.0
11
                       Aluminium                    2.700000e+00
                         Silicon                    2.330000e+00
                            Iron                    7.870000e+00
                        ArgonGas                    1.782000e-03
                              He                    1.786000e-04
                     liquidArgon                    1.390000e+00
                            Lead                    1.135000e+01
                           Water                    1.000000e+00
                    Scintillator                    1.032000e+00
                             Air                    1.290000e-03
                        Galactic                    1.000000e-25
