MATERIAL-V3.0
33
                           H2Liq                    7.080000e-02
                       Beryllium                    1.848000e+00
                       Aluminium                    2.700000e+00
                         Silicon                    2.330000e+00
                     liquidArgon                    1.390000e+00
                            Iron                    7.870000e+00
                          Copper                    8.960000e+00
                       Germanium                    5.323000e+00
                          Silver                    1.050000e+01
                        Tungsten                    1.930000e+01
                            Gold                    1.932000e+01
                            Lead                    1.135000e+01
                           Water                    1.000000e+00
                         Plastic                    1.040000e+00
                             NaI                    3.670000e+00
                            PuO2                    1.150000e+01
                             Air                    1.290000e-03
                           Air20                    1.205000e-03
                        Graphite                    1.700000e+00
                           Havar                    8.300000e+00
                        ArgonGas                    1.782000e-03
                        XenonGas                    5.458000e-03
                     CarbonicGas                    1.977000e-03
                        ArgonCO2                    1.822300e-03
                     NewArgonCO2                    1.822300e-03
                        ArgonCH4                    1.709000e-03
             XenonMethanePropane                    4.919600e-03
                      WaterSteam                    1.000000e-03
                    StandardRock                    2.650000e+00
                        Galactic                    1.000000e-25
                     G4_Galactic                    1.000000e-25
                           G4_Si                    2.330000e+00
                           G4_Pu                    1.984000e+01
