Collection name='THashList', class='THashList', size=4
 TKey Name = Event_1, Title = object title, Cycle = 1
 TKey Name = Event_2, Title = object title, Cycle = 1
 TKey Name = Event_3, Title = object title, Cycle = 1
 TKey Name = Event_4, Title = object title, Cycle = 1
Collection: Event_1
Number of hits: 91
  trackID: 82  chamberNb: 3  energy deposit[MeV]: 0.00198614  position[mm]: (57.6571,-215.608,814.909)
  trackID: 81  chamberNb: 3  energy deposit[MeV]: 0.00268448  position[mm]: (56.2574,-215.615,813.54)
  trackID: 80  chamberNb: 3  energy deposit[MeV]: 0.0020068  position[mm]: (55.734,-215.396,812.756)
  trackID: 79  chamberNb: 3  energy deposit[MeV]: 0.00275544  position[mm]: (53.3922,-215.374,811.292)
  trackID: 78  chamberNb: 3  energy deposit[MeV]: 0.00331726  position[mm]: (46.9737,-213.663,803.21)
  trackID: 77  chamberNb: 3  energy deposit[MeV]: 0.00113507  position[mm]: (46.08,-213.626,803.07)
  trackID: 77  chamberNb: 3  energy deposit[MeV]: 0.00190098  position[mm]: (45.2601,-214.845,803.128)
  trackID: 77  chamberNb: 3  energy deposit[MeV]: 0.0041038  position[mm]: (43.791,-215.352,803.514)
  trackID: 77  chamberNb: 3  energy deposit[MeV]: 0.000866814  position[mm]: (43.4327,-215.592,803.519)
  trackID: 77  chamberNb: 3  energy deposit[MeV]: 0.00118235  position[mm]: (43.4069,-216.192,802.012)
  trackID: 77  chamberNb: 3  energy deposit[MeV]: 0.00359501  position[mm]: (43.8429,-216.904,801.313)
  trackID: 77  chamberNb: 3  energy deposit[MeV]: 0.00122245  position[mm]: (44.4042,-217.227,800.824)
  trackID: 77  chamberNb: 3  energy deposit[MeV]: 0.00269099  position[mm]: (45.0428,-217.416,800.409)
  trackID: 77  chamberNb: 3  energy deposit[MeV]: 0.00319872  position[mm]: (45.146,-217.91,800.241)
  trackID: 77  chamberNb: 3  energy deposit[MeV]: 0.00250521  position[mm]: (44.879,-218.53,800.235)
  trackID: 77  chamberNb: 3  energy deposit[MeV]: 0.000540598  position[mm]: (44.4824,-218.592,800.6)
  trackID: 77  chamberNb: 3  energy deposit[MeV]: 0.00127483  position[mm]: (44.0094,-218.008,800.978)
  trackID: 77  chamberNb: 3  energy deposit[MeV]: 0.00238692  position[mm]: (44.0395,-217.254,801.077)
  trackID: 77  chamberNb: 3  energy deposit[MeV]: 0.0025008  position[mm]: (43.9105,-216.392,801.319)
  trackID: 77  chamberNb: 3  energy deposit[MeV]: 0.00792364  position[mm]: (43.8195,-215.686,801.389)
  trackID: 77  chamberNb: 3  energy deposit[MeV]: 0.00961901  position[mm]: (43.7366,-215.597,801.365)
  trackID: 93  chamberNb: 3  energy deposit[MeV]: 0.00207134  position[mm]: (43.4339,-215.585,803.507)
  trackID: 34  chamberNb: 2  energy deposit[MeV]: 0.00259501  position[mm]: (2.11186,6.56933,186.599)
  trackID: 34  chamberNb: 2  energy deposit[MeV]: 0.00410755  position[mm]: (1.8999,6.70465,186.102)
  trackID: 34  chamberNb: 2  energy deposit[MeV]: 0.00859561  position[mm]: (2.02194,6.57298,186.531)
  trackID: 34  chamberNb: 2  energy deposit[MeV]: 0.00488235  position[mm]: (2.0662,6.78521,186.57)
  trackID: 34  chamberNb: 2  energy deposit[MeV]: 0.00892002  position[mm]: (2.14057,6.76904,186.49)
  trackID: 94  chamberNb: 2  energy deposit[MeV]: 0.00197199  position[mm]: (2.11734,6.58132,186.6)
  trackID: 33  chamberNb: 2  energy deposit[MeV]: 0.00174624  position[mm]: (1.63367,6.01696,183.367)
  trackID: 32  chamberNb: 2  energy deposit[MeV]: 0.0010977  position[mm]: (1.60267,6.10429,160.643)
  trackID: 32  chamberNb: 2  energy deposit[MeV]: 0.00827128  position[mm]: (1.65137,6.14709,160.717)
  trackID: 95  chamberNb: 2  energy deposit[MeV]: 0.00150449  position[mm]: (1.59674,6.10004,160.649)
