Hit#    X, mm   Y, mm   Z, mm
0     	-3.295	-4.568	-327.939
1	16.628	-3.446	-330.570
2	10.057	12.760	-330.313
3	3.209	8.416	-328.435
4	11.265	0.736	-328.904
5	13.389	-8.070	-330.109
6	1.504	-2.985	-327.734
7	8.675	10.577	-329.515
8	7.447	-6.392	-328.588
9	5.922	-4.379	-328.164
10	12.390	-15.023	-331.537
11	9.726	-14.128	-330.631
12	8.927	13.212	-330.211
13	-0.833	13.544	-329.484
14	17.852	1.382	-330.910
15	7.873	-9.968	-329.250
16	-9.972	5.233	-328.897
17	-1.500	15.254	-330.010
18	16.556	-11.065	-331.723
19	6.051	13.435	-329.825
20	-16.231	-0.531	-330.311
21	7.575	6.048	-328.564
22	-15.353	-13.396	-331.925
23	-21.688	-5.996	-332.924
24	8.374	6.543	-328.756
25	21.810	-2.811	-332.672
26	5.745	-4.433	-328.148
27	1.735	22.371	-332.893
28	-0.411	2.663	-327.695
29	-10.991	-10.605	-329.993
30	-10.333	-8.313	-329.399
31	5.627	-12.216	-329.451
32	11.742	12.785	-330.707
33	-0.793	12.379	-329.173
34	12.960	-17.202	-332.456
35	-14.465	-8.107	-330.428
36	2.264	-11.450	-328.993
37	1.898	-0.168	-327.659
38	13.758	-9.687	-330.514
39	5.623	-3.561	-328.065
40	-10.955	14.794	-331.105
41	-5.322	17.729	-331.145
42	-11.933	-1.300	-329.073
43	-10.512	-15.501	-331.232
44	-5.184	-20.981	-332.491
45	13.988	5.394	-329.904
46	1.969	1.182	-327.676
47	-1.842	7.798	-328.264
48	20.935	-2.690	-332.255
49	-19.571	-10.709	-332.829
50	-8.459	-14.751	-330.578
51	-1.079	8.735	-328.398
52	-8.581	-5.652	-328.682
53	16.664	11.397	-331.843
54	3.971	12.238	-329.293
55	21.321	7.050	-332.901
56	-1.506	1.712	-327.675
57	7.085	0.972	-328.133
58	-17.050	5.783	-330.948
59	6.450	21.564	-332.927
60	5.047	-10.997	-329.097
61	10.955	-17.623	-332.092
62	-9.030	20.229	-332.752
63	11.432	5.251	-329.218
64	7.986	-0.408	-328.262
65	2.029	12.105	-329.140
66	1.578	19.896	-331.743
67	17.929	-12.086	-332.496
68	-5.968	11.427	-329.300
69	9.182	-1.907	-328.503
70	0.492	-2.948	-327.712
71	-13.743	-5.067	-329.798
72	-16.257	8.990	-331.171
73	11.169	9.884	-329.880
74	9.518	-0.454	-328.532
75	13.276	12.806	-331.119
76	15.623	8.656	-330.894
77	4.168	8.719	-328.558
78	18.345	8.012	-331.769
79	-6.739	-4.542	-328.283
80	1.551	4.976	-327.894
81	8.120	-17.491	-331.458
82	14.943	8.812	-330.702
83	11.714	-8.244	-329.701
84	-6.280	1.793	-328.048
85	11.559	4.144	-329.142
86	-3.815	12.520	-329.352
87	-6.248	14.539	-330.172
88	17.688	-13.669	-332.851
89	-9.950	-9.314	-329.501
90	14.904	15.731	-332.519
91	3.670	-5.308	-328.038
92	8.644	-19.283	-332.266
93	-21.828	-1.888	-332.634
94	13.424	12.365	-331.043
95	12.251	-5.671	-329.465
96	-14.094	2.590	-329.703
97	-19.307	-9.021	-332.349
98	-10.792	-1.918	-328.829
99	-4.221	16.935	-330.741
100	-7.791	19.506	-332.208
101	17.287	9.368	-331.616
102	-10.255	-7.959	-329.324
103	20.563	7.075	-332.555
104	-11.899	3.487	-329.172
105	-10.596	10.422	-329.864
106	-19.550	-4.706	-331.808
107	-19.781	-0.505	-331.669
108	6.845	8.165	-328.762
109	-6.396	-12.927	-329.730
110	-14.477	9.045	-330.602
111	18.770	-7.962	-331.931
112	12.414	9.344	-330.078
113	8.150	2.959	-328.375
114	8.226	16.229	-331.021
115	15.709	5.449	-330.444
116	5.582	10.035	-328.949
117	-17.191	5.401	-330.954
118	6.445	-8.455	-328.757
119	-12.166	11.974	-330.601
120	-5.467	8.926	-328.722
121	-11.511	18.439	-332.551
122	0.609	-2.864	-327.708
123	-9.238	-7.144	-328.995
124	-15.822	16.199	-332.995
125	-0.692	-2.737	-327.702
126	10.222	-9.040	-329.505
127	-14.809	5.003	-330.108
128	-2.000	16.437	-330.421
129	-14.732	9.331	-330.736
130	-10.683	10.711	-329.947
131	12.865	-3.999	-329.457
132	11.113	-9.303	-329.752
133	15.484	13.712	-332.062
134	3.915	6.651	-328.218
135	-13.809	-10.987	-330.813
136	0.466	2.092	-327.669
137	10.857	4.690	-329.030
138	-2.346	10.049	-328.691
139	-0.603	1.799	-327.659
140	0.699	-16.125	-330.277
141	7.058	-2.219	-328.169
142	21.048	3.353	-332.351
143	1.862	2.557	-327.723
144	21.768	-6.622	-333.050
145	-6.051	5.005	-328.239
146	9.452	-12.256	-330.058
147	18.237	11.998	-332.595
148	1.007	15.415	-330.049
149	-11.097	13.604	-330.779
150	-18.005	2.626	-331.022
151	11.481	-10.253	-330.031
152	-2.525	-12.107	-329.164
153	8.976	-21.005	-333.096
154	-11.659	6.124	-329.374
155	-3.502	-1.072	-327.757
156	-2.007	-15.354	-330.061
157	-16.104	-10.452	-331.422
158	-14.922	4.297	-330.075
159	-9.261	4.980	-328.732
160	20.014	-6.524	-332.229
161	16.118	-0.310	-330.271
162	-1.288	2.582	-327.706
163	-13.575	9.768	-330.478
164	-6.984	11.074	-329.353
165	13.836	-17.971	-333.014
166	11.966	-15.609	-331.618
167	-5.932	-14.447	-330.104
168	14.488	-17.188	-332.913
169	8.421	-14.230	-330.412
170	15.516	-5.152	-330.348
171	7.784	-15.943	-330.848
172	11.362	2.361	-328.977
173	-18.231	2.122	-331.083
174	8.940	8.136	-329.094
175	-16.704	6.264	-330.886
176	-4.423	14.566	-329.977
177	3.618	-14.195	-329.799
178	12.899	18.870	-333.103
179	-8.069	6.066	-328.644
180	7.895	16.961	-331.223
181	-9.819	11.943	-330.053
182	-16.446	-8.965	-331.232
183	-14.883	10.441	-331.016
184	-1.809	15.356	-330.053
185	-7.000	21.733	-333.090
