Evt     Eprim   Etot    LXe     LXeTime PMT     PMTTime Seed1           Seed2           First   Flags
#       MeV     MeV     hits    ns      hits    ns                                      hit

79    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebep-5	54	0x1.200963ed5d0b6p-17	76	0x1.1ced4d5a75a2dp+5	1	36556168	gamma	gamma electron 
80    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	90	0x1.b2a21d0e52f16p-13	71	0x1.3c2f7e5c624bbp+5	1	36556168	gamma	gamma electron 
83    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	51	0x1.ae8437f81504fp-18	47	0x1.9d0d527ecc8a6p+5	1	36556168	gamma	gamma electron 
84    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	77	0x1.a42aa30a9fff4p-18	58	0x1.82d6ec74357adp+5	1	36556168	gamma	gamma electron 
85    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebdp-5	52	0x1.59615da6ea279p-18	65	0x1.9f85b360b03fap+5	1	36556168	gamma	gamma electron 
89    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb5p-5	76	0x1.e7febb062feb9p-18	58	0x1.6fce8baf750fdp+5	1	36556168	gamma	gamma electron 
90    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	63	0x1.955071afd88a5p-18	97	0x1.668e678c79dbbp+5	1	36556168	gamma	gamma electron 
92    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	55	0x1.a763dc8659e08p-17	52	0x1.8146172d85f37p+5	1	36556168	gamma	gamma electron 
93    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	65	0x1.0766ef15cb017p-16	61	0x1.8a7ca6fc4afa8p+5	1	36556168	gamma	gamma electron 
95    	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91934p-6	24	0x1.8f4b18b0da7b2p-18	29	0x1.7734173bbebe3p+5	1	36556168	gamma	gamma electron 
96    	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91934p-6	39	0x1.411f0323f5af8p-15	34	0x1.5814da66030d6p+5	1	36556168	gamma	gamma electron 
98    	0x1.eb851eb851eb9p-5	0x1.b5164cc885954p-9	2	0x1.9ebd66db18e28p-16	2	0x1.1e70d848d55a9p+6	1	36556168	gamma	gamma electron 
99    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	53	0x1.8bd27cac59cp-18	62	0x1.a2feb49eb239bp+5	1	36556168	gamma	gamma electron 
101   	0x1.eb851eb851eb9p-5	0x1.be85e22cb0623p-7	10	0x1.46f149cca0946p-12	14	0x1.ebc0a57eb0aeap+4	1	36556168	gamma	gamma electron 
104   	0x1.eb851eb851eb9p-5	0x1.0b1a22fbb139dp-6	47	0x1.47f1365bc129bp-14	15	0x1.b268db4cab308p+5	1	36556168	e-	electron 
